出現形	ICDコード	標準病名	しゅつげんけい	東大診療録頻度
溝状舌	K145	溝状舌	こうじょうぜつ	11
腰部ボーエン病	D045	腰部ボーエン病	ようぶぼーえんびょう	11
上肢単純性血管腫	Q825	上肢単純性血管腫	じょうしたんじゅんせいけっかんしゅ	11
上腕骨骨髄炎	M8692	上腕骨骨髄炎	じょうわんこつこつずいえん	11
心因性振戦	F444	心因性振戦	しんいんせいしんせん	11
精索脂肪腫	D176	精索脂肪腫	せいさくしぼうしゅ	11
精索腫瘤	N508	精索腫瘤	せいさくしゅりゅう	11
脊髄奇形	Q069	脊髄奇形	せきずいきけい	11
脊柱後側弯症	M419	脊柱後側弯症	せきちゅうこうそくわんしょう	11
線維性骨炎	M8569	線維性骨炎	せんいせいこつえん	11
多発梗塞性認知症	F011	多発梗塞性認知症	たはつこうそくせいにんちしょう	11
退形成性乏突起膠腫	C719	退形成性乏突起膠腫	たいけいせいせいぼうとっきこうしゅ	11
動揺病	T753	動揺病	どうようびょう	11
皮角	L858	皮角	ひかく	11
頬粘膜咬傷	S005	頬粘膜咬傷	きょうねんまくこうしょう	11
頬部膿瘍	L020	頬部膿瘍	きょうぶのうよう	11
頬部母斑細胞母斑	D223	頬部母斑細胞母斑	きょうぶぼはんさいぼうぼはん	11
慢性乳腺症	N603	慢性乳腺症	まんせいにゅうせんしょう	11
無虹彩	Q131	無虹彩	むこうさい	11
有痛性排尿困難	R300	有痛性排尿困難	ゆうつうせいはいにょうこんなん	11
有鉤骨骨折	S6210	有鉤骨骨折	ゆうこうこつこっせつ	11
レプトスピラ症	A279	レプトスピラ症	れぷとすぴらしょう	11
肺毛細血管腫症	I270	肺毛細血管腫症	はいもうさいけっかんしゅしょう	11
本態性クリオグロブリン血症	D891	本態性クリオグロブリン血症	ほんたいせいくりおぐろぶりんけっしょう	11
眼梅毒	A527	眼梅毒	がんばいどく	11
腎血管腫	D180	腎血管腫	じんけっかんしゅ	11
クルーゾン症候群	Q751	クルーゾン症候群	くるーぞんしょうこうぐん	11
ステロイド皮膚炎	L270	ステロイド皮膚炎	すてろいどひふえん	11
音声衰弱症	R498	音声衰弱症	おんせいすいじゃくしょう	11
過緊張性発声障害	G248	過緊張性発声障害	かきんちょうせいはっせいしょうがい	11
屈趾症	M2457	屈趾症	くっししょう	11
形質細胞性口唇炎	K130	形質細胞性口唇炎	けいしつさいぼうせいこうしんえん	11
口蓋膿瘍	K122	口蓋膿瘍	こうがいのうよう	11
抗生物質起因性腸炎	A09	抗生物質起因性腸炎	こうせいぶっしつきいんせいちょうえん	11
指間白癬	B352	指間白癬	しかんはくせん	11
充填物脱離	T888	充填物脱離	じゅうてんぶつだつり	11
小児声帯結節	J382	小児声帯結節	しょうにせいたいけっせつ	11
小菱形骨骨折	S6210	小菱形骨骨折	しょうりょうけいこつこっせつ	11
小腹不仁	R198	小腹不仁	しょうふくふじん	11
先天性副腎性器症候群	E250	先天性副腎性器症候群	せんてんせいふくじんせいきしょうこうぐん	11
足根洞症候群	T933	足根洞症候群	そくこんどうしょうこうぐん	11
内麦粒腫	H000	内麦粒腫	ないばくりゅうしゅ	11
二人組精神病	F24	二人組精神病	ふたりぐみせいしんびょう	11
乳児寄生菌性紅斑	B372	乳児寄生菌性紅斑	にゅうじきせいきんせいこうはん	11
脳幹部血管腫	Q283	脳幹部血管腫	のうかんぶけっかんしゅ	11
慢性咽頭痛	J312	慢性咽頭痛	まんせいいんとうつう	11
脛骨近位部骨腫瘍	D480	脛骨近位部骨腫瘍	けいこつきんいぶこつしゅよう	11
胸椎悪性腫瘍	C412	胸椎悪性腫瘍	きょうついあくせいしゅよう	11
脊椎悪性腫瘍	C412	脊椎悪性腫瘍	せきついあくせいしゅよう	11
色盲	H535	色盲	しきもう	10
副神経障害	G528	副神経障害	ふくしんけいしょうがい	10
中大脳動脈閉塞症	I660	中大脳動脈閉塞症	ちゅうだいのうどうみゃくへいそくしょう	10
脛骨腫瘍	D480	脛骨腫瘍	けいこつしゅよう	10
斜顔裂	Q188	斜顔裂	しゃがんれつ	10
上腕骨顆上開放骨折	S4241	上腕骨顆上開放骨折	じょうわんこつかじょうかいほうこっせつ	10
ベンスジョーンズ型多発性骨髄腫	C900	ベンスジョーンズ型多発性骨髄腫	べんすじょーんずがたたはつせいこつずいしゅ	10
足関節前方インピンジメント症候群	M2587	足関節前方インピンジメント症候群	そくかんせつぜんぽういんぴんじめんとしょうこうぐん	10
糖尿病母体児	P701	糖尿病母体児	とうにょうびょうぼたいじ	10
大腿部皮下血腫	S701	大腿部皮下血腫	だいたいぶひかけっしゅ	10
正中腹壁ヘルニア	K439	正中腹壁ヘルニア	せいちゅうふくへきへるにあ	10
足関節滑液包炎	M7197	足関節滑液包炎	そくかんせつかつえきほうえん	10
高クレアチンキナーゼ血症	R748	高クレアチンキナーゼ血症	こうくれあちんきなーぜけっしょう	10
耳下腺唾石症	K115	耳下腺唾石症	じかせんだせきしょう	10
肺形成不全症	Q336	肺形成不全症	はいけいせいふぜんしょう	10
母指化膿性腱鞘炎	M6504	母指化膿性腱鞘炎	ぼしかのうせいけんしょうえん	10
脊柱弯曲症	M4399	脊柱弯曲症	せきちゅうわんきょくしょう	10
頚部アテローム	L720	頚部アテローム	けいぶあてろーむ	10
肺部異常陰影	R91	肺部異常陰影	はいぶいじょういんえい	10
末梢神経腫瘍	D482	末梢神経腫瘍	まっしょうしんけいしゅよう	10
濾出性腹水	R18	濾出性腹水	ろしゅつせいふくすい	10
一絨毛膜一羊膜性双胎	O300	一絨毛膜一羊膜性双胎	いちじゅうもうまくいちようまくせいそうたい	10
分類不能免疫不全症	D839	分類不能免疫不全症	ぶんるいふのうめんえきふぜんしょう	10
格子状角膜変性	H185	格子状角膜変性	こうしじょうかくまくへんせい	10
クルッケンベルグ腫瘍	C796	クルッケンベルグ腫瘍	くるっけんべるぐしゅよう	10
右室低形成症候群	Q226	右室低形成症候群	うしつていけいせいしょうこうぐん	10
網膜中心静脈塞栓症	H348	網膜中心静脈塞栓症	もうまくちゅうしんじょうみゃくそくせんしょう	10
過期産	O758	過期産	かきさん	10
顎下腺膿瘍	K113	顎下腺膿瘍	がくかせんのうよう	10
急性付属器炎	N700	急性付属器炎	きゅうせいふぞくきえん	10
上顎洞ポリープ	J338	上顎洞ポリープ	じょうがくどうぽりーぷ	10
多中心性細網組織球症	D763	多中心性細網組織球症	たちゅうしんせいさいもうそしききゅうしょう	10
多部位リンパ節転移	C778	多部位リンパ節転移	たぶいりんぱせつてんい	10
脱出性内痔核	I841	脱出性内痔核	だっしゅつせいないじかく	10
非定型神経性無食欲症	F501	非定型神経性無食欲症	ひていけいしんけいせいむしょくよくしょう	10
鼻骨陳旧性骨折	T902	鼻骨陳旧性骨折	びこつちんきゅうせいこっせつ	10
肛門悪性黒色腫	C210	肛門悪性黒色腫	こうもんあくせいこくしょくしゅ	10
アトピー性湿疹	L209	アトピー性湿疹	あとぴーせいしっしん	10
巨細胞肉芽腫	K101	巨細胞肉芽腫	きょさいぼうにくげしゅ	10
上衣下腫	D432	上衣下腫	じょういかしゅ	10
副鼻腔内反性乳頭腫	D140	副鼻腔内反性乳頭腫	ふくびくうないはんせいにゅうとうしゅ	10
慢性副鼻腔炎急性増悪	J329	慢性副鼻腔炎急性増悪	まんせいふくびくうえんきゅうせいぞうあく	10
嵌頓性胆石症	K802	嵌頓性胆石症	かんとんせいたんせきしょう	10
Ｑ熱	A78	Ｑ熱	Ｑねつ	10
大腿動脈仮性動脈瘤	I724	大腿動脈仮性動脈瘤	だいたいどうみゃくかせいどうみゃくりゅう	10
ＣＭ関節脱臼	S630	ＣＭ関節脱臼	ＣＭかんせつだっきゅう	10
悪性脊髄腫瘍	C720	悪性脊髄腫瘍	あくせいせきずいしゅよう	10
医薬品中毒後遺症	T96	医薬品中毒後遺症	いやくひんちゅうどくこういしょう	10
外傷性腹腔内出血	S3680	外傷性腹腔内出血	がいしょうせいふくくうないしゅっけつ	10
完全大血管転位症１型	Q203	完全大血管転位症１型	かんぜんだいけっかんてんいしょういちがた	10
古典的フェニルケトン尿症	E700	古典的フェニルケトン尿症	こてんてきふぇにるけとんにょうしょう	10
喉頭蓋谷癌	C100	喉頭蓋谷癌	こうとうがいやがん	10
上腕静脈血栓症	I828	上腕静脈血栓症	じょうわんじょうみゃくけっせんしょう	10
仙腸骨炎	M4618	仙腸骨炎	せんちょうこつえん	10
脳血管先天奇形	Q283	脳血管先天奇形	のうけっかんせんてんきけい	10
腹部損傷	S399	腹部損傷	ふくぶそんしょう	10
網膜中心静脈血栓症	H348	網膜中心静脈血栓症	もうまくちゅうしんじょうみゃくけっせんしょう	10
橈骨尺骨遠位端骨折	S5260	橈骨尺骨遠位端骨折	とうこつしゃっこつえんいたんこっせつ	10
滲出型加齢黄斑変性	H353	滲出型加齢黄斑変性	しんしゅつがたかれいおうはんへんせい	10
肛門括約筋麻痺	K628	肛門括約筋麻痺	こうもんかつやくきんまひ	10
脳挫傷後遺症	T905	脳挫傷後遺症	のうざしょうこういしょう	10
卵巣未熟奇形腫	C56	卵巣未熟奇形腫	らんそうみじゅくきけいしゅ	10
回内筋症候群	G561	回内筋症候群	かいないきんしょうこうぐん	10
習慣性下痢	K529	習慣性下痢	しゅうかんせいげり	10
上肢神経痛	M7929	上肢神経痛	じょうししんけいつう	10
前額部切創	S002	前額部切創	ぜんがくぶせっそう	10
総腸骨動脈解離	I723	総腸骨動脈解離	そうちょうこつどうみゃくかいり	10
背部母斑	D225	背部母斑	はいぶぼはん	10
非器質性睡眠障害	F519	非器質性睡眠障害	ひきしつせいすいみんしょうがい	10
橈骨尺骨骨幹部骨折	S5240	橈骨尺骨骨幹部骨折	とうこつしゃっこつこっかんぶこっせつ	10
混合型クリオグロブリン血症	D891	混合型クリオグロブリン血症	こんごうがたくりおぐろぶりんけっしょう	10
癌性悪液質	C80	癌性悪液質	がんせいあくえきしつ	10
髄膜症	R291	髄膜症	ずいまくしょう	10
細菌性心膜炎	I301	細菌性心膜炎	さいきんせいしんまくえん	10
アルカリ血症	E873	アルカリ血症	あるかりけっしょう	10
下顎部腫瘍	D487	下顎部腫瘍	かがくぶしゅよう	10
過剰埋伏歯	K011	過剰埋伏歯	かじょうまいふくし	10
外陰浮腫	N908	外陰浮腫	がいいんふしゅ	10
肝浮腫	K768	肝浮腫	かんふしゅ	10
結膜潰瘍	H108	結膜潰瘍	けつまくかいよう	10
失文法	R488	失文法	しつぶんぽう	10
上口唇挫傷	S005	上口唇挫傷	じょうこうしんざしょう	10
上腹壁ヘルニア	K439	上腹壁ヘルニア	じょうふくへきへるにあ	10
上腕脂肪腫	D172	上腕脂肪腫	じょうわんしぼうしゅ	10
先天性痙性麻痺	G800	先天性痙性麻痺	せんてんせいけいせいまひ	10
穿孔性角膜潰瘍	H160	穿孔性角膜潰瘍	せんこうせいかくまくかいよう	10
即死	R960	即死	そくし	10
足底部皮膚欠損創	S913	足底部皮膚欠損創	そくていぶひふけっそんそう	10
頬粘膜炎	K137	頬粘膜炎	きょうねんまくえん	10
門脈走行異常	Q265	門脈走行異常	もんみゃくそうこういじょう	10
植物状態	R402	植物状態	しょくぶつじょうたい	10
遺伝性運動感覚性ニューロパチー	G600	遺伝性運動感覚性ニューロパチー	いでんせいうんどうかんかくせいにゅーろぱちー	10
硬性下疳	A510	硬性下疳	こうせいげかん	10
日光過敏性皮膚炎	L568	日光過敏性皮膚炎	にっこうかびんせいひふえん	10
表在性静脈炎	I809	表在性静脈炎	ひょうざいせいじょうみゃくえん	10
アイゼンメンゲル症候群	Q218	アイゼンメンゲル症候群	あいぜんめんげるしょうこうぐん	10
トリコモナス症	A599	トリコモナス症	とりこもなすしょう	10
家族性滲出性硝子体網膜症	H355	家族性滲出性硝子体網膜症	かぞくせいしんしゅつせいしょうしたいもうまくしょう	10
開放性脱臼	T143	開放性脱臼	かいほうせいだっきゅう	10
関節強直	M2469	関節強直	かんせつきょうちょく	10
骨盤異常	Q742	骨盤異常	こつばんいじょう	10
三角頭蓋	Q750	三角頭蓋	さんかくとうがい	10
残根	K083	残根	ざんこん	10
耳小骨部分欠損	H743	耳小骨部分欠損	じしょうこつぶぶんけっそん	10
上腕骨遠位端開放骨折	S4241	上腕骨遠位端開放骨折	じょうわんこつえんいたんかいほうこっせつ	10
舌扁桃炎	J039	舌扁桃炎	ぜつへんとうえん	10
大腿腫瘍	D487	大腿腫瘍	だいたいしゅよう	10
単純性紫斑病	D692	単純性紫斑病	たんじゅんせいしはんびょう	10
低形成性貧血	D619	低形成性貧血	ていけいせいせいひんけつ	10
肉芽腫性肝炎	K753	肉芽腫性肝炎	にくげしゅせいかんえん	10
乳管拡張症	N604	乳管拡張症	にゅうかんかくちょうしょう	10
皮膚洞	Q059	皮膚洞	ひふどう	10
皮膚剥脱創	T141	皮膚剥脱創	ひふはくだつそう	10
不完全脚ブロック	I454	不完全脚ブロック	ふかんぜんきゃくぶろっく	10
福山型先天性筋ジストロフィー	G710	福山型先天性筋ジストロフィー	ふくやまがたせんてんせいきんじすとろふぃー	10
縫合部膿瘍	T814	縫合部膿瘍	ほうごうぶのうよう	10
膀胱石灰化	N328	膀胱石灰化	ぼうこうせっかいか	10
アレルギー性気管支肺真菌症	B49	アレルギー性気管支肺真菌症	あれるぎーせいきかんしはいしんきんしょう	10
脂肪塞栓症	T791	脂肪塞栓症	しぼうそくせんしょう	10
エルシニア腸炎	A046	エルシニア腸炎	えるしにあちょうえん	10
性行為感染症	A64	性行為感染症	せいこういかんせんしょう	10
不明瞭言語	R478	不明瞭言語	ふめいりょうげんご	10
糖尿病性腎硬化症	E142	糖尿病性腎硬化症	とうにょうびょうせいじんこうかしょう	10
溺死	T751	溺死	できし	10
ファブリー病	E752	ファブリー病	ふぁぶりーびょう	10
リポジストロフィー	E881	リポジストロフィー	りぽじすとろふぃー	10
運動器不安定症	R268	運動器不安定症	うんどうきふあんていしょう	10
尿毒症肺	N188	尿毒症肺	にょうどくしょうはい	10
ノロウイルス性腸炎	A081	ノロウイルス性腸炎	のろういるすせいちょうえん	10
ビタミンＡ欠乏症	E509	ビタミンＡ欠乏症	びたみんＡけつぼうしょう	10
一側性続発性股関節症	M167	一側性続発性股関節症	いっそくせいぞくはつせいこかんせつしょう	10
化膿性霰粒腫	H001	化膿性霰粒腫	かのうせいさんりゅうしゅ	10
外麦粒腫	H000	外麦粒腫	がいばくりゅうしゅ	10
顔面皮下血腫	S008	顔面皮下血腫	がんめんひかけっしゅ	10
気管裂傷	S110	気管裂傷	きかんれっしょう	10
急性出血性結膜炎	B303	急性出血性結膜炎	きゅうせいしゅっけつせいけつまくえん	10
肩鎖関節亜脱臼	S431	肩鎖関節亜脱臼	けんさかんせつあだっきゅう	10
原発性認知症	F03	原発性認知症	げんぱつせいにんちしょう	10
歯根肥大	K034	歯根肥大	しこんひだい	10
脊髄性髄膜癒着	G961	脊髄性髄膜癒着	せきずいせいずいまくゆちゃく	10
前頭葉症候群	F070	前頭葉症候群	ぜんとうようしょうこうぐん	10
単純型子宮内膜異型増殖症	N851	単純型子宮内膜異型増殖症	たんじゅんがたしきゅうないまくいけいぞうしょくしょう	10
陳旧性脱臼	M2489	陳旧性脱臼	ちんきゅうせいだっきゅう	10
椎骨脳底動脈狭窄症	I653	椎骨脳底動脈狭窄症	ついこつのうていどうみゃくきょうさくしょう	10
特発性低身長症	E343	特発性低身長症	とくはつせいていしんちょうしょう	10
鼻部有棘細胞癌	C443	鼻部有棘細胞癌	びぶゆうきょくさいぼうがん	10
貧血母斑	Q858	貧血母斑	ひんけつぼはん	10
複雑性イレウス	K562	複雑性イレウス	ふくざつせいいれうす	10
本態性低血圧症	I950	本態性低血圧症	ほんたいせいていけつあつしょう	10
歯突起骨	Q764	歯突起骨	しとっきこつ	10
生検後感染	T814	生検後感染	せいけんごかんせん	10
若年性関節炎	M0890	若年性関節炎	じゃくねんせいかんせつえん	9
下腿有棘細胞癌	C447	下腿有棘細胞癌	かたいゆうきょくさいぼうがん	9
アデノウイルス結膜炎	B301	アデノウイルス結膜炎	あでのういるすけつまくえん	9
下腿蜂巣炎	L031	下腿蜂巣炎	かたいほうそうえん	9
侵入胞状奇胎	D392	侵入胞状奇胎	しんにゅうほうじょうきたい	9
脳圧迫	G935	脳圧迫	のうあっぱく	9
膝関節滑膜炎	M6596	膝関節滑膜炎	しつかんせつかつまくえん	9
バリント症候群	H476	バリント症候群	ばりんとしょうこうぐん	9
中毒性巨大結腸	K593	中毒性巨大結腸	ちゅうどくせいきょだいけっちょう	9
急性尿路感染	N390	急性尿路感染	きゅうせいにょうろかんせん	9
中葉非小細胞肺癌	C342	中葉非小細胞肺癌	ちゅうようひしょうさいぼうはいがん	9
脛骨骨幹部開放骨折	S8221	脛骨骨幹部開放骨折	けいこつこっかんぶかいほうこっせつ	9
上腕骨顆部骨折	S4240	上腕骨顆部骨折	じょうわんこつかぶこっせつ	9
褐色白内障	H251	褐色白内障	かっしょくはくないしょう	9
下肢切断	T136	下肢切断	かしせつだん	9
瘢痕性類天疱瘡	L121	瘢痕性類天疱瘡	はんこんせいるいてんぽうそう	9
抜毛癖	F633	抜毛癖	ばつもうへき	9
母指基節骨開放骨折	S6251	母指基節骨開放骨折	ぼしきせつこつかいほうこっせつ	9
歯肉白板症	K132	歯肉白板症	しにくはくばんしょう	9
スイート病	L982	スイート病	すいーとびょう	9
上腕悪性軟部腫瘍	C491	上腕悪性軟部腫瘍	じょうわんあくせいなんぶしゅよう	9
晩期産褥出血	O722	晩期産褥出血	ばんきさんじょくしゅっけつ	9
大静脈塞栓症	I822	大静脈塞栓症	だいじょうみゃくそくせんしょう	9
低眼圧	H444	低眼圧	ていがんあつ	9
消化管カルチノイド	C269	消化管カルチノイド	しょうかかんかるちのいど	9
硬膜脳動静脈奇形	Q282	硬膜脳動静脈奇形	こうまくのうどうじょうみゃくきけい	9
十二指腸消化管間質腫瘍	C170	十二指腸消化管間質腫瘍	じゅうにしちょうしょうかかんかんしつしゅよう	9
カテーテル敗血症	T814	カテーテル敗血症	かてーてるはいけつしょう	9
リスフラン関節損傷	S968	リスフラン関節損傷	りすふらんかんせつそんしょう	9
尿失禁症	R32	尿失禁症	にょうしっきんしょう	9
母指末節骨骨折	S6250	母指末節骨骨折	ぼしまっせつこつこっせつ	9
過期妊娠	O48	過期妊娠	かきにんしん	9
外傷性角膜穿孔	S056	外傷性角膜穿孔	がいしょうせいかくまくせんこう	9
急性後壁心筋梗塞	I212	急性後壁心筋梗塞	きゅうせいこうへきしんきんこうそく	9
関節リウマチ性間質性肺炎	M0510	関節リウマチ性間質性肺炎	かんせつりうまちせいかんしつせいはいえん	9
先天性十二指腸狭窄症	Q410c	先天性十二指腸狭窄症	せんてんせいじゅうにしちょうきょうさくしょう	9
十二指腸周囲炎	K298	十二指腸周囲炎	じゅうにしちょうしゅういえん	9
電撃症	T754	電撃症	でんげきしょう	9
肝静脈閉塞症	K765	肝静脈閉塞症	かんじょうみゃくへいそくしょう	9
孤立性心房細動	I48	孤立性心房細動	こりつせいしんぼうさいどう	9
隅角解離	H215	隅角解離	ぐうかくかいり	9
異常腹水	R18	異常腹水	いじょうふくすい	9
破壊性脊椎関節症	M4789	破壊性脊椎関節症	はかいせいせきついかんせつしょう	9
ＤＩＰ関節炎	M1314	ＤＩＰ関節炎	ＤＩＰかんせつえん	9
咽頭狭窄症	J392	咽頭狭窄症	いんとうきょうさくしょう	9
眼窩炎性偽腫瘍	H051	眼窩炎性偽腫瘍	がんかえんせいぎしゅよう	9
術後下垂体機能低下症	E893	術後下垂体機能低下症	じゅつごかすいたいきのうていかしょう	9
特発性胸椎側弯症	M4124	特発性胸椎側弯症	とくはつせいきょうついそくわんしょう	9
漿膜下子宮平滑筋腫	D252	漿膜下子宮平滑筋腫	しょうまくかしきゅうへいかつきんしゅ	9
無機能腎	N19	無機能腎	むきのうじん	9
腰部損傷	S399	腰部損傷	ようぶそんしょう	9
先天性動静脈瘻	Q273	先天性動静脈瘻	せんてんせいどうじょうみゃくろう	9
夜間頻尿症	R35	夜間頻尿症	やかんひんにょうしょう	9
老年期認知症	F03	老年期認知症	ろうねんきにんちしょう	9
趾瘢痕拘縮	L905	趾瘢痕拘縮	しはんこんこうしゅく	9
背部膿瘍	L022	背部膿瘍	はいぶのうよう	9
頚部癌	C760	頚部癌	けいぶがん	9
前頭骨腫瘍	D480	前頭骨腫瘍	ぜんとうこつしゅよう	9
アルカリ性食道炎	K20	アルカリ性食道炎	あるかりせいしょくどうえん	9
後大脳動脈瘤	I671	後大脳動脈瘤	こうだいのうどうみゃくりゅう	9
新生児嘔吐	P920	新生児嘔吐	しんせいじおうと	9
脊椎骨粗鬆症	M8168	脊椎骨粗鬆症	せきついこつそしょうしょう	9
足部難治性皮膚潰瘍	L97	足部難治性皮膚潰瘍	そくぶなんちせいひふかいよう	9
単純性関節炎	M1319	単純性関節炎	たんじゅんせいかんせつえん	9
蝶形骨洞癌	C313	蝶形骨洞癌	ちょうけいこつどうがん	9
乳児内斜視	H504	乳児内斜視	にゅうじないしゃし	9
乳房萎縮	N642	乳房萎縮	にゅうぼういしゅく	9
水痘肺炎	B012	水痘肺炎	すいとうはいえん	9
ウイルス性扁桃炎	J038	ウイルス性扁桃炎	ういるすせいへんとうえん	9
一過性大腿骨頭萎縮症	M8985	一過性大腿骨頭萎縮症	いっかせいだいたいこっとういしゅくしょう	9
会陰部脂肪腫	D171	会陰部脂肪腫	えいんぶしぼうしゅ	9
外傷性ショック	T794	外傷性ショック	がいしょうせいしょっく	9
外傷性視神経損傷	S040	外傷性視神経損傷	がいしょうせいししんけいそんしょう	9
口腔紅板症	K132	口腔紅板症	こうくうこうばんしょう	9
口唇挫傷	S005	口唇挫傷	こうしんざしょう	9
上腕骨外科頚骨折	S4220	上腕骨外科頚骨折	じょうわんこつげかけいこっせつ	9
中指有棘細胞癌	C446	中指有棘細胞癌	ちゅうしゆうきょくさいぼうがん	9
超皮質性失語	R470	超皮質性失語	ちょうひしつせいしつご	9
腹部血管腫	D180	腹部血管腫	ふくぶけっかんしゅ	9
卵管通過障害	N971	卵管通過障害	らんかんつうかしょうがい	9
腟瘻	N829	腟瘻	ちつろう	9
膵臓癌骨転移	C795	膵臓癌骨転移	すいぞうがんこつてんい	9
胃神経鞘腫	D131	胃神経鞘腫	いしんけいしょうしゅ	9
重複大動脈弓	Q254	重複大動脈弓	じゅうふくだいどうみゃくきゅう	9
遺伝性大腸癌	C189	遺伝性大腸癌	いでんせいだいちょうがん	9
多発性小脳梗塞	I635	多発性小脳梗塞	たはつせいしょうのうこうそく	9
コリンエステラーゼ欠損症	E880	コリンエステラーゼ欠損症	こりんえすてらーぜけっそんしょう	9
レイノー病	I730	レイノー病	れいのーびょう	9
心房期外収縮	I491	心房期外収縮	しんぼうきがいしゅうしゅく	9
ＭＰ関節脱臼	S631	ＭＰ関節脱臼	ＭＰかんせつだっきゅう	9
アレルギー性胃腸炎	K522	アレルギー性胃腸炎	あれるぎーせいいちょうえん	9
下咽頭異常	Q388	下咽頭異常	かいんとういじょう	9
器質性躁病性障害	F063	器質性躁病性障害	きしつせいそうびょうせいしょうがい	9
急性腸間膜動脈閉塞症	K550	急性腸間膜動脈閉塞症	きゅうせいちょうかんまくどうみゃくへいそくしょう	9
胸腺肥大	E320	胸腺肥大	きょうせんひだい	9
肩甲骨体部骨折	S4210	肩甲骨体部骨折	けんこうこつたいぶこっせつ	9
後頭部外傷	S069	後頭部外傷	こうとうぶがいしょう	9
根性坐骨神経症	G570	根性坐骨神経症	こんせいざこつしんけいしょう	9
種子骨骨折	T1420	種子骨骨折	しゅしこつこっせつ	9
小眼球	Q112	小眼球	しょうがんきゅう	9
動揺胸郭	S225	動揺胸郭	どうようきょうかく	9
肺ヘルニア	J984	肺ヘルニア	はいへるにあ	9
腹部てんかん	G408	腹部てんかん	ふくぶてんかん	9
母指腱鞘炎	M6594	母指腱鞘炎	ぼしけんしょうえん	9
慢性気管炎	J42	慢性気管炎	まんせいきかんえん	9
慢性神経痛	M7929	慢性神経痛	まんせいしんけいつう	9
離断症候群	G371	離断症候群	りだんしょうこうぐん	9
肝血管肉腫	C223	肝血管肉腫	かんけっかんにくしゅ	9
転移性十二指腸癌	C784	転移性十二指腸癌	てんいせいじゅうにしちょうがん	9
宿便性潰瘍	K633	宿便性潰瘍	しゅくべんせいかいよう	9
産褥子癇	O152	産褥子癇	さんじょくしかん	9
亀頭部潰瘍	N485	亀頭部潰瘍	きとうぶかいよう	9
局所出血	R58	局所出血	きょくしょしゅっけつ	9
小児肥満	E669	小児肥満	しょうにひまん	9
ウイルス性ぶどう膜炎	B349	ウイルス性ぶどう膜炎	ういるすせいぶどうまくえん	9
ガラクトース血症	E742	ガラクトース血症	がらくとーすけっしょう	9
デュラフォイ潰瘍	K250	デュラフォイ潰瘍	でゅらふぉいかいよう	9
横隔膜挙上症	Q791	横隔膜挙上症	おうかくまくきょじょうしょう	9
下顎部挫傷	S008	下顎部挫傷	かがくぶざしょう	9
家族性片麻痺性片頭痛	G431	家族性片麻痺性片頭痛	かぞくせいへんまひせいへんずつう	9
外尿道口腫瘍	D413	外尿道口腫瘍	がいにょうどうこうしゅよう	9
完全重複尿管	Q625	完全重複尿管	かんぜんじゅうふくにょうかん	9
眼瞼結膜炎	H105	眼瞼結膜炎	がんけんけつまくえん	9
眼窩良性腫瘍	D316	眼窩良性腫瘍	がんかりょうせいしゅよう	9
顔面擦過創	S008	顔面擦過創	がんめんさっかそう	9
気管熱傷	T270	気管熱傷	きかんねっしょう	9
菌腫	B479	菌腫	きんしゅ	9
結核性痔瘻	A183	結核性痔瘻	けっかくせいじろう	9
姿勢振戦	G250	姿勢振戦	しせいしんせん	9
歯冠周囲炎	K053	歯冠周囲炎	しかんしゅういえん	9
耳帯状疱疹	B022	耳帯状疱疹	みみたいじょうほうしん	9
弱視眼振	H55	弱視眼振	じゃくしがんしん	9
出血性鼻茸	J339	出血性鼻茸	しゅっけつせいはなたけ	9
術後性下顎顎欠損	Z900	術後性下顎顎欠損	じゅつごせいかがくがくけっそん	9
症候性精神障害	F069	症候性精神障害	しょうこうせいせいしんしょうがい	9
双頚双角子宮	Q513	双頚双角子宮	そうけいそうかくしきゅう	9
足関節開放性脱臼骨折	S8281	足関節開放性脱臼骨折	そくかんせつかいほうせいだっきゅうこっせつ	9
胎便イレウス	E841	胎便イレウス	たいべんいれうす	9
恥垢	N508	恥垢	ちこう	9
中耳真菌症	B368	中耳真菌症	ちゅうじしんきんしょう	9
中毒性紅斑	L530	中毒性紅斑	ちゅうどくせいこうはん	9
爆発損傷症候群	T708	爆発損傷症候群	ばくはつそんしょうしょうこうぐん	9
膝損傷	S898	膝損傷	ひざそんしょう	9
腹壁痛	R104	腹壁痛	ふくへきつう	9
糞便充塞	K564	糞便充塞	ふんべんじゅうそく	9
傍十二指腸乳頭憩室	K571	傍十二指腸乳頭憩室	ぼうじゅうにしちょうにゅうとうけいしつ	9
味覚消失	R432	味覚消失	みかくしょうしつ	9
肋間筋挫傷	S290	肋間筋挫傷	ろっかんきんざしょう	9
嚥下不能	R13	嚥下不能	えんげふのう	9
腟膿瘍	N760	腟膿瘍	ちつのうよう	9
膵機能異常	K869	膵機能異常	すいきのういじょう	9
下大静脈症候群	I871	下大静脈症候群	かだいじょうみゃくしょうこうぐん	9
高地肺水腫	J708	高地肺水腫	こうちはいすいしゅ	9
骨斑紋症	Q788	骨斑紋症	こつはんもんしょう	9
眼ベーチェット病	M352	眼ベーチェット病	がんべーちぇっとびょう	9
糖原病１ａ型	E740	糖原病１ａ型	とうげんびょういちえーがた	9
舞踏病様運動	G255	舞踏病様運動	ぶとうびょうよううんどう	9
